,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,225,180,143,119,70,43,13,0,0
3,401,308,101,130,78,47,15,0,0
4,511,375,82,115,87,45,6,0,0
5,584,402,74,72,77,35,2,0,0
6,630,413,41,64,59,25,4,0,0
7,630,416,49,48,43,15,2,0,0
8,629,383,37,37,27,16,6,0,0
9,590,327,21,30,26,11,3,0,0
10,570,290,22,23,21,11,3,0,0
11,540,270,15,16,21,7,2,0,0
12,527,248,9,14,20,7,0,0,0
13,528,232,10,10,7,5,0,0,0
14,483,208,11,13,7,4,0,0,0
15,485,195,3,11,6,5,0,0,0
16,455,180,2,6,5,2,2,0,0
17,442,168,6,5,2,4,0,0,0
18,434,159,6,3,6,2,0,0,0
19,449,136,0,2,3,2,0,0,0
20,456,122,4,0,2,1,0,0,0
21,451,118,2,2,3,1,0,0,0
22,438,106,0,4,3,1,0,0,0
23,420,105,0,2,1,0,0,0,0
24,407,107,3,1,2,0,0,0,0
25,388,107,0,3,2,0,0,0,0
26,366,91,1,0,2,0,0,0,0
27,340,85,0,0,0,0,0,0,0
28,343,81,0,0,0,0,0,0,0
29,328,77,0,0,0,1,0,0,0
30,333,67,1,0,1,1,0,0,0
31,309,60,0,0,0,0,0,0,0
32,313,55,0,0,0,0,0,0,0
33,301,56,0,0,0,0,0,0,0
34,290,52,1,0,1,0,0,0,0
35,286,51,0,0,0,0,0,0,0
36,283,45,0,0,0,0,0,0,0
37,279,41,0,0,0,0,0,0,0
38,267,36,0,0,0,0,0,0,0
39,264,33,0,0,0,0,0,0,0
40,262,32,0,0,0,0,0,0,0
41,259,32,0,0,0,0,0,0,0
42,256,29,0,0,0,0,0,0,0
43,243,29,0,0,0,0,0,0,0
44,238,27,0,0,0,0,0,0,0
45,231,28,0,0,0,0,0,0,0
46,225,20,0,0,0,0,0,0,0
47,212,16,0,0,0,0,0,0,0
48,197,12,0,0,0,0,0,0,0
49,186,10,0,0,0,0,0,0,0
50,188,10,0,0,0,0,0,0,0
51,188,9,0,0,0,0,0,0,0
52,185,7,0,0,0,0,0,0,0
53,173,10,0,0,0,0,0,0,0
54,169,12,0,0,0,0,0,0,0
55,167,8,0,0,0,0,0,0,0
56,159,7,0,0,0,0,0,0,0
57,160,7,0,0,0,0,0,0,0
58,147,5,0,0,0,0,0,0,0
59,145,8,0,0,0,0,0,0,0
60,140,7,0,0,0,0,0,0,0
61,137,3,0,0,0,0,0,0,0
62,129,4,0,0,0,0,0,0,0
63,132,5,0,0,0,0,0,0,0
64,126,4,0,0,0,0,0,0,0
65,131,5,0,0,0,0,0,0,0
66,133,5,0,0,0,0,0,0,0
67,122,2,0,0,0,0,0,0,0
68,121,1,0,0,0,0,0,0,0
69,111,0,0,0,0,0,0,0,0
70,106,0,0,0,0,0,0,0,0
71,104,0,0,0,0,0,0,0,0
72,101,0,0,0,0,0,0,0,0
73,100,0,0,0,0,0,0,0,0
74,100,0,0,0,0,0,0,0,0
75,104,0,0,0,0,0,0,0,0
76,100,0,0,0,0,0,0,0,0
77,99,0,0,0,0,0,0,0,0
78,93,0,0,0,0,0,0,0,0
79,87,0,0,0,0,0,0,0,0
80,84,0,0,0,0,0,0,0,0
81,85,0,0,0,0,0,0,0,0
82,77,1,0,0,0,0,0,0,0
83,77,1,0,0,0,0,0,0,0
84,76,1,0,0,0,0,0,0,0
85,74,0,0,0,0,0,0,0,0
86,70,0,0,0,0,0,0,0,0
87,61,0,0,0,0,0,0,0,0
88,64,0,0,0,0,0,0,0,0
89,69,0,0,0,0,0,0,0,0
90,67,0,0,0,0,0,0,0,0
91,63,0,0,0,0,0,0,0,0
92,64,0,0,0,0,0,0,0,0
93,62,0,0,0,0,0,0,0,0
94,61,0,0,0,0,0,0,0,0
95,63,0,0,0,0,0,0,0,0
96,63,0,0,0,0,0,0,0,0
97,60,0,0,0,0,0,0,0,0
98,58,0,0,0,0,0,0,0,0
99,55,0,0,0,0,0,0,0,0
100,53,0,0,0,0,0,0,0,0
101,42,0,0,0,0,0,0,0,0
102,41,0,0,0,0,0,0,0,0
103,39,0,0,0,0,0,0,0,0
104,44,0,0,0,0,0,0,0,0
105,43,0,0,0,0,0,0,0,0
106,35,0,0,0,0,0,0,0,0
107,36,0,0,0,0,0,0,0,0
108,38,0,0,0,0,0,0,0,0
109,40,0,0,0,0,0,0,0,0
110,32,0,0,0,0,0,0,0,0
111,35,0,0,0,0,0,0,0,0
112,35,0,0,0,0,0,0,0,0
113,37,0,0,0,0,0,0,0,0
114,38,0,0,0,0,0,0,0,0
115,38,0,0,0,0,0,0,0,0
116,39,0,0,0,0,0,0,0,0
117,34,0,0,0,0,0,0,0,0
118,28,0,0,0,0,0,0,0,0
119,31,0,0,0,0,0,0,0,0
120,27,0,0,0,0,0,0,0,0
121,22,0,0,0,0,0,0,0,0
122,23,0,0,0,0,0,0,0,0
123,27,0,0,0,0,0,0,0,0
124,26,0,0,0,0,0,0,0,0
125,27,0,0,0,0,0,0,0,0
126,24,0,0,0,0,0,0,0,0
127,24,0,0,0,0,0,0,0,0
128,23,0,0,0,0,0,0,0,0
129,25,0,0,0,0,0,0,0,0
130,23,0,0,0,0,0,0,0,0
131,26,0,0,0,0,0,0,0,0
132,28,0,0,0,0,0,0,0,0
133,26,0,0,0,0,0,0,0,0
134,26,0,0,0,0,0,0,0,0
135,26,0,0,0,0,0,0,0,0
136,25,0,0,0,0,0,0,0,0
137,18,0,0,0,0,0,0,0,0
138,14,0,0,0,0,0,0,0,0
139,16,0,0,0,0,0,0,0,0
140,16,0,0,0,0,0,0,0,0
141,16,0,0,0,0,0,0,0,0
142,12,0,0,0,0,0,0,0,0
143,12,0,0,0,0,0,0,0,0
144,14,0,0,0,0,0,0,0,0
145,15,0,0,0,0,0,0,0,0
146,13,0,0,0,0,0,0,0,0
147,13,0,0,0,0,0,0,0,0
148,11,0,0,0,0,0,0,0,0
149,11,0,0,0,0,0,0,0,0
150,10,0,0,0,0,0,0,0,0
151,11,0,0,0,0,0,0,0,0
152,12,0,0,0,0,0,0,0,0
153,11,0,0,0,0,0,0,0,0
154,8,0,0,0,0,0,0,0,0
155,10,0,0,0,0,0,0,0,0
156,9,0,0,0,0,0,0,0,0
157,9,0,0,0,0,0,0,0,0
158,11,0,0,0,0,0,0,0,0
159,10,0,0,0,0,0,0,0,0
160,9,0,0,0,0,0,0,0,0
161,8,0,0,0,0,0,0,0,0
162,8,0,0,0,0,0,0,0,0
163,9,0,0,0,0,0,0,0,0
164,10,0,0,0,0,0,0,0,0
165,8,0,0,0,0,0,0,0,0
166,7,0,0,0,0,0,0,0,0
167,7,0,0,0,0,0,0,0,0
168,8,0,0,0,0,0,0,0,0
169,9,0,0,0,0,0,0,0,0
170,8,0,0,0,0,0,0,0,0
171,9,0,0,0,0,0,0,0,0
172,9,0,0,0,0,0,0,0,0
173,10,0,0,0,0,0,0,0,0
174,9,0,0,0,0,0,0,0,0
175,9,0,0,0,0,0,0,0,0
176,6,0,0,0,0,0,0,0,0
177,8,0,0,0,0,0,0,0,0
178,6,0,0,0,0,0,0,0,0
179,6,0,0,0,0,0,0,0,0
180,7,0,0,0,0,0,0,0,0
181,8,0,0,0,0,0,0,0,0
182,10,0,0,0,0,0,0,0,0
183,8,0,0,0,0,0,0,0,0
184,9,0,0,0,0,0,0,0,0
185,9,0,0,0,0,0,0,0,0
186,7,0,0,0,0,0,0,0,0
187,6,0,0,0,0,0,0,0,0
188,9,0,0,0,0,0,0,0,0
189,9,0,0,0,0,0,0,0,0
190,10,0,0,0,0,0,0,0,0
191,8,0,0,0,0,0,0,0,0
192,8,0,0,0,0,0,0,0,0
193,10,0,0,0,0,0,0,0,0
194,7,0,0,0,0,0,0,0,0
195,8,0,0,0,0,0,0,0,0
196,10,0,0,0,0,0,0,0,0
197,8,0,0,0,0,0,0,0,0
198,7,0,0,0,0,0,0,0,0
199,7,0,0,0,0,0,0,0,0
200,7,0,0,0,0,0,0,0,0
201,7,0,0,0,0,0,0,0,0
202,6,0,0,0,0,0,0,0,0
203,5,0,0,0,0,0,0,0,0
204,6,0,0,0,0,0,0,0,0
205,4,0,0,0,0,0,0,0,0
206,5,0,0,0,0,0,0,0,0
207,6,0,0,0,0,0,0,0,0
208,6,0,0,0,0,0,0,0,0
209,7,0,0,0,0,0,0,0,0
210,6,0,0,0,0,0,0,0,0
211,6,0,0,0,0,0,0,0,0
212,5,0,0,0,0,0,0,0,0
213,6,0,0,0,0,0,0,0,0
214,7,0,0,0,0,0,0,0,0
215,8,0,0,0,0,0,0,0,0
216,6,0,0,0,0,0,0,0,0
217,6,0,0,0,0,0,0,0,0
218,6,0,0,0,0,0,0,0,0
219,2,0,0,0,0,0,0,0,0
220,4,0,0,0,0,0,0,0,0
221,4,0,0,0,0,0,0,0,0
222,5,0,0,0,0,0,0,0,0
223,5,0,0,0,0,0,0,0,0
224,5,0,0,0,0,0,0,0,0
225,5,0,0,0,0,0,0,0,0
226,3,0,0,0,0,0,0,0,0
227,4,0,0,0,0,0,0,0,0
228,5,0,0,0,0,0,0,0,0
229,6,0,0,0,0,0,0,0,0
230,5,0,0,0,0,0,0,0,0
231,4,0,0,0,0,0,0,0,0
232,2,0,0,0,0,0,0,0,0
233,2,0,0,0,0,0,0,0,0
234,2,0,0,0,0,0,0,0,0
235,4,0,0,0,0,0,0,0,0
236,3,0,0,0,0,0,0,0,0
237,3,0,0,0,0,0,0,0,0
238,2,0,0,0,0,0,0,0,0
239,3,0,0,0,0,0,0,0,0
240,3,0,0,0,0,0,0,0,0
